mean,std,sdNN,meanNN,madNN,pNN50,RMSSD,shannon,sampleEntropy,Class
14.5741026962047,346.208681190401,30.366626988061,644.464285714286,6.66666666666663,10.7142857142857,44.5085396414003,3.10245984460395,0.998528830111127,N
41.4381111111111,306.731969773085,13.9085331163029,742.991452991453,10,5.12820512820513,21.8915455389032,3.76951977068882,0,O
2.41588888888889,144.418637735304,52.5293035466152,827.047619047619,33.3333333333334,5.71428571428571,43.7909472245523,4.67214015980211,1.46633706879343,N
38.7218535958904,240.2645721925,33.1074785720003,909.569892473118,23.3333333333333,9.67741935483871,32.5576411921994,4.24451889103204,1.38629436111989,O
29.5116666666667,281.481828656645,53.8864754845162,855.9375,16.6666666666667,6.25,30.9526172742958,4.30110850073124,1.13497993283898,N
-16.649,220.414178862079,43.6882716778141,753.039215686275,26.6666666666667,11.7647058823529,43.5774012418123,4.47702497353965,1.09861228866811,N
2.80077777777778,566.059553776471,40.5714942657207,874.270833333333,16.6666666666667,28.125,53.353490814368,4.16390976555739,0.635988766719997,N
11.3992222222222,115.44083265396,111.935591835558,1004.92063492064,73.3333333333334,90.4761904761905,156.322316598324,4.20184123230257,0,O
-7.68855555555556,141.328865503761,57.889149880052,778.645833333333,35,15.625,61.3790152458053,4.53890976555739,1.94591014905531,N
17.4932222222222,165.296150921966,102.033668782502,1035.83333333333,76.6666666666667,54.1666666666667,108.162071986557,4.41829583405449,1.6094379124341,N
19.1238888888889,109.767588245898,29.886381972503,769.561403508772,20.0000000000001,0,18.0672750138593,4.29359428958857,0,N
-10.4982456140351,139.408371725653,31.6124406718108,652.549019607843,20.0000000000001,5.88235294117647,21.5541952606293,3.96981578242681,0,N
-30.122,171.951036972738,60.4199319911748,807.878787878788,50.0000000000001,72.7272727272727,89.444660110161,4.59727631626259,1.94591014905531,N
-14.5331111111111,294.67859556037,109.63968616213,1003.91304347826,53.3333333333333,39.1304347826087,88.574570534971,4.05595815161512,0.955511445027436,N
16.1403743315508,133.585250177931,16.4584057818222,863.571428571429,8.33333333333337,0,15.9325501363138,2.98522813603425,0,N
3.34155555555556,206.977079798766,18.1563908439441,804.952380952381,10,0,23.6670809132484,3.783014003266,1.70474809223843,N
